inn%address%main_okved%main_descr%add_okveds%add_descrs%КПП%ОГРН%ДатаОГРН%ДатаРег%Статус%Капитал%НаимПолнЮЛ
3235002178%241020, Брянская область, г. Брянск, ул. Уральская, д. 113%49.50.1%Транспортирование по трубопроводам нефти и нефтепродуктов%35.12|37.00|84.24|33.20|49.20|28.49|68.20.2|71.20|35.30%Передача электроэнергии и технологическое присоединение к распределительным электросетям|Сбор и обработка сточных вод|Деятельность по обеспечению общественного порядка и безопасности|Монтаж промышленных машин и оборудования|Деятельность железнодорожного транспорта: грузовые перевозки|Производство прочих станков|Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Технические испытания, исследования, анализ и сертификация|Производство, передача и распределение пара и горячей воды; кондиционирование воздуха%325701001%1023202736754%2002-08-22%1994-04-07%Действующее%635375.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - ДРУЖБА"""
5032137342%143421, Московская область, г. о. Красногорск, тер. Автодорога Балтия, 26-Й километр, д. 5, стр. 5/3, помещ. 2, ком. 1%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%35.13|42.22|33.14|45.20.5|84.25.9|42.22.2%Распределение электроэнергии|Строительство коммунальных объектов для обеспечения электроэнергией и телекоммуникациями|Ремонт электрического оборудования|Деятельность по зарядке аккумуляторных батарей транспортных средств с электродвигателями|Деятельность по обеспечению безопасности в чрезвычайных ситуациях прочая|Строительство местных линий электропередачи и связи%502401001%1055006353478%2005-11-07%2005-11-07%Действующее%20811231000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЛАСТНАЯ ЭНЕРГОСЕТЕВАЯ КОМПАНИЯ"""
2320109650%119435, г. Москва, ул. Большая Пироговская, д. 27, корп. 2%35.11.1%Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%35.30.14|56.29|35.30.2|41.20|63.11.1|66.12.2|43.99.1|42.22.1|35.30.11%Производство пара и горячей воды (тепловой энергии) котельными|Деятельность предприятий общественного питания по прочим видам организации питания|Передача пара и горячей воды (тепловой энергии)|Строительство жилых и нежилых зданий|Деятельность по созданию и использованию баз данных и информационных ресурсов|Деятельность по управлению ценными бумагами|Работы гидроизоляционные|Строительство междугородних линий электропередачи и связи|Производство пара и горячей воды (тепловой энергии) тепловыми электростанциями%770401001%1022302933630%2002-11-01%2002-11-01%Действующее%293339674800.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕР РАО ЕЭС"""
7830001758%195197, г. Санкт-Петербург, пр-кт Полюстровский, д. 39, литера А%49.31.21%Регулярные перевозки пассажиров автобусами в городском и пригородном сообщении%86.22|49.39.11|49.39.12|63.99.1|86.21|49.31|85.42.1|85.30|49.39.3%Специальная врачебная практика|Регулярные перевозки пассажиров автобусами в междугородном сообщении|Регулярные перевозки пассажиров автобусами в международном сообщении|Деятельность по оказанию консультационных и информационных услуг|Общая врачебная практика|Деятельность сухопутного пассажирского транспорта: перевозки пассажиров в городском и пригородном сообщении|Деятельность школ подготовки водителей автотранспортных средств|Обучение профессиональное|Перевозки пассажиров сухопутным транспортом по заказам%780401001%1027809247300%2002-12-18%2001-07-13%Действующее%25921797668.67%САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПАССАЖИРСКОГО АВТОМОБИЛЬНОГО ТРАНСПОРТА
7017005289%634029, Томская область, г. Томск, пр-кт Фрунзе, д. 9%49.50.21%Транспортирование по трубопроводам газа%85.41|71.12.1|36.00|71.11.1|96.04|37.00|42.22.1|71.12.5|43.39%Образование дополнительное детей и взрослых|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора|Забор, очистка и распределение воды|Деятельность в области архитектуры, связанная с созданием архитектурного объекта|Деятельность физкультурно- оздоровительная|Сбор и обработка сточных вод|Строительство междугородних линий электропередачи и связи|Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения|Производство прочих отделочных и завершающих работ%701701001%1027000862954%2002-09-16%1999-07-02%Действующее%36470388335.43%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ТОМСК"""
7701791321%127422, г. Москва, Дмитровский проезд, д. 10, стр. 1%06.10.1%Добыча нефти%19.20|20.59.5|35.11|20.11|46.12.3|06.10.3|06.20|64.99.11|09.10.4%Производство нефтепродуктов|Производство прочих химических продуктов, не включенных в другие группировки|Производство электроэнергии|Производство промышленных газов|Деятельность агентов по оптовой торговле промышленными и техническими химическими веществами, удобрениями и агрохимикатами|Добыча нефтяного (попутного) газа|Добыча природного газа и газового конденсата|Вложения в ценные бумаги|Сжижение и обогащение природного газа на месте добычи для последующей транспортировки%771301001%1087746814000%2008-07-07%2008-07-07%Действующее%13102586013.6%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВМЕСТНАЯ КОМПАНИЯ ""РУСВЬЕТПЕТРО"""
7704312545%123610, г. Москва, вн. тер. г. муниципальный округ Пресненский, Краснопресненская набережная, д. 12, помещ. 1/18%68.20.2%Аренда и управление собственным или арендованным нежилым недвижимым имуществом%77.39.2|42.22.3|35.11.1|35.14|49.50.2%Аренда и лизинг прочих машин и оборудования, не включенных в другие группировки|Строительство электростанций|Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Торговля электроэнергией|Транспортирование по трубопроводам газа и продуктов его переработки%770301001%1157746314153%2015-04-07%2015-04-07%Действующее%91518100000.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИНИНГРАДСКАЯ ГЕНЕРАЦИЯ"""
7810814522%196210, г. Санкт-Петербург, ул. Пилотов, д. 18/4%51.10.1%Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию%52.10|52.23.1|86.90.4|51.21.1|55.1|51.10.2|79.1|84.22|52.10.21%Деятельность по складированию и хранению|Деятельность вспомогательная, связанная с воздушным транспортом|Деятельность санаторно-курортных организаций|Перевозка воздушным грузовым транспортом, подчиняющимся расписанию|Деятельность гостиниц и прочих мест для временного проживания|Перевозка воздушным пассажирским транспортом, не подчиняющимся расписанию|Деятельность туристических агентств и туроператоров|Деятельность, связанная с обеспечением военной безопасности|Хранение и складирование нефти и продуктов ее переработки%781001001%1117847025284%2011-01-28%2011-01-28%Действующее%918899000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВИАКОМПАНИЯ ""РОССИЯ"""
7710106212%125009, г. Москва, ул. Большая Дмитровка, д. 7/5, стр. 5%46.46%Торговля оптовая фармацевтической продукцией%46.18.1|68.10.22|46.65|47.74|68.20.2|73.20|52.21.2|49.3|46.15%Деятельность агентов, специализирующихся на оптовой торговле фармацевтической продукцией, изделиями, применяемыми в медицинских целях, парфюмерными и косметическими товарами, включая мыло, и чистящими средствами|Покупка и продажа собственных нежилых зданий и помещений|Торговля оптовая офисной мебелью|Торговля розничная изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах|Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Исследование конъюнктуры рынка и изучение общественного мнения|Деятельность вспомогательная, связанная с автомобильным транспортом|Деятельность прочего сухопутного пассажирского транспорта|Деятельность агентов по оптовой торговле мебелью, бытовыми товарами, скобяными, ножевыми и прочими металлическими изделиями%771001001%1027739389732%2002-10-16%1993-12-28%Действующее%50639700.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФАРМАЦЕВТИЧЕСКИЙ ИМПОРТ, ЭКСПОРТ"""
6450925977%410031, Саратовская область, г. Саратов, ул. Первомайская, д. 42/44%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%63.11.1|49.41.2|56.29|62.09|71.12.62|49.41.1|70.10.2|61.10.4|70.22%Деятельность по созданию и использованию баз данных и информационных ресурсов|Перевозка грузов неспециализированными автотранспортными средствами|Деятельность предприятий общественного питания по прочим видам организации питания|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Деятельность в области метрологии|Перевозка грузов специализированными автотранспортными средствами|Деятельность по управлению холдинг-компаниями|Деятельность в области документальной электросвязи|Консультирование по вопросам коммерческой деятельности и управления%645001001%1076450006280%2007-06-29%2007-06-29%Действующее%18830795873.28%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ВОЛГА"""
2460069527%660021, Красноярский край, г. Красноярск, ул. Бограда, д. 144А%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%35.30.2|42.22.1|71.12.1|35.14|42.99|35.13|45.20.5|52.10.21|41.20%Передача пара и горячей воды (тепловой энергии)|Строительство междугородних линий электропередачи и связи|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора|Торговля электроэнергией|Строительство прочих инженерных сооружений, не включенных в другие группировки|Распределение электроэнергии|Деятельность по зарядке аккумуляторных батарей транспортных средств с электродвигателями|Хранение и складирование нефти и продуктов ее переработки|Строительство жилых и нежилых зданий%246001001%1052460054327%2005-07-04%2005-07-04%Действующее%9988619381.9%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ СИБИРЬ"""
8901025421%629004, Ямало-Ненецкий автономный округ, г. Салехард, ул. Республики, д. 67, офис 600%35.30%Производство, передача и распределение пара и горячей воды% кондиционирование воздуха%68.32.2|52.21.24|35.12|49.4|82.99|35.12.1|35.22|64.19|36.00;Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе|Деятельность стоянок для транспортных средств|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Деятельность автомобильного грузового транспорта и услуги по перевозкам|Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки|Передача электроэнергии|Распределение газообразного топлива по газораспределительным сетям|Денежное посредничество прочее|Забор, очистка и распределение воды%890101001%1118901002153%2011-07-11%2011-07-11%Действующее%1000000000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯМАЛКОММУНЭНЕРГО"""
5247004695%607061, Нижегородская область, г. Выкса, ул. Братьев Баташевых, зд. 45%24.20%Производство стальных труб, полых профилей и фитингов%24.51|52.29|52.10.21|55.1|71.2|71.12.45|86.10|69|71.12.6%Литье чугуна|Деятельность вспомогательная прочая, связанная с перевозками|Хранение и складирование нефти и продуктов ее переработки|Деятельность гостиниц и прочих мест для временного проживания|Технические испытания, исследования, анализ и сертификация|Создание геодезической, нивелирной, гравиметрической сетей|Деятельность больничных организаций|Деятельность в области права и бухгалтерского учета|Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции%524701001%1025201632610%2002-08-09%1992-11-06%Действующее%416678000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫКСУНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД"""
5260200603%603001, Нижегородская область, г. Нижний Новгород, ул. Рождественская, д. 33%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%61.10|61.10.3|61.10.4|61.10.1|63.11.1|35.13|35.14|70.22|47.91.2%Деятельность в области связи на базе проводных технологий|Деятельность по предоставлению услуг по передаче данных и услуг доступа к информационно-коммуникационной сети Интернет|Деятельность в области документальной электросвязи|Деятельность по предоставлению услуг телефонной связи|Деятельность по созданию и использованию баз данных и информационных ресурсов|Распределение электроэнергии|Торговля электроэнергией|Консультирование по вопросам коммерческой деятельности и управления|Торговля розничная, осуществляемая непосредственно при помощи информационно-коммуникационной сети Интернет%526001001%1075260020043%2007-06-28%2007-06-28%Действующее%11269781704.3%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЦЕНТР И ПРИВОЛЖЬЕ"""
5920000593%617760, Пермский край, г. Чайковский, бульвар Приморский, д. 30%49.50.2%Транспортирование по трубопроводам газа и продуктов его переработки%49.41|35.30.14|35.22|35.12|49.50.22|93.19|62.09|49.39.1|46.12%Деятельность автомобильного грузового транспорта|Производство пара и горячей воды (тепловой энергии) котельными|Распределение газообразного топлива по газораспределительным сетям|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Транспортирование по трубопроводам продуктов переработки газа|Деятельность в области спорта прочая|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Регулярные перевозки пассажиров сухопутным транспортом, кроме железнодорожного транспорта, в междугородном и международном сообщении, а также специальные перевозки (для собственных нужд)|Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами%592001001%1025902030780%2002-09-10%1999-06-30%Действующее%3219201000.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ"""
7205011944%625023, Тюменская область, г. Тюмень, ул. Одесская, д. 27%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%35.30.14|45.19.1|52.29|45.19.4|42.22.2|35.30.4|62.02|43.33|43.29%Производство пара и горячей воды (тепловой энергии) котельными|Торговля оптовая прочими автотранспортными средствами|Деятельность вспомогательная прочая, связанная с перевозками|Торговля оптовая прочими автотранспортными средствами за вознаграждение или на договорной основе|Строительство местных линий электропередачи и связи|Обеспечение работоспособности котельных|Деятельность консультативная и работы в области компьютерных технологий|Работы по устройству покрытий полов и облицовке стен|Производство прочих строительно-монтажных работ%720301001%1027201233620%2002-11-28%2002-11-28%Действующее%9436350965.21%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКО-УРАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ"""
5003065767%196105, г. Санкт-Петербург, пр-кт Московский, д. 139, корп. 1 стр. 1, помещ. 1-Н (ч.п. 350)%52.10.22%Хранение и складирование газа и продуктов его переработки%37.00|46.71|09.10.9|71.1|71.12.6|71.12.5|49.50.21%Сбор и обработка сточных вод|Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами|Предоставление прочих услуг в области добычи нефти и природного газа|Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях|Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции|Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения|Транспортирование по трубопроводам газа%781001001%1075003001820%2007-03-19%2007-03-19%Действующее%2010000000.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ПХГ"""
8903019871%629736, Ямало-Ненецкий автономный округ, м. о. Надымский Район, г. Надым, ул. Пионерская, стр. 14%06.20%Добыча природного газа и газового конденсата%86.90.4|86.23|46.75|96.04|68.31|36.0|61.10.1|36.00.1|46.71%Деятельность санаторно-курортных организаций|Стоматологическая практика|Торговля оптовая химическими продуктами|Деятельность физкультурно- оздоровительная|Деятельность агентств недвижимости за вознаграждение или на договорной основе|Забор, очистка и распределение воды|Деятельность по предоставлению услуг телефонной связи|Забор и очистка воды для питьевых и промышленных нужд|Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами%890301001%1028900578080%2002-08-30%1999-06-30%Действующее%5950956180.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ДОБЫЧА НАДЫМ"""
7803002209%197349, г. Санкт-Петербург, вн. тер. г. муниципальный округ Озеро Долгое, ул. Гаккелевская, д. 21, литера А%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%85.42|47.41|47.99|42.91.5|47.59.3|42.21|41.2|49.41.1|46.69.7%Образование профессиональное дополнительное|Торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах|Торговля розничная прочая вне магазинов, палаток, рынков|Производство подводных работ, включая водолазные|Торговля розничная осветительными приборами в специализированных магазинах|Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения|Строительство жилых и нежилых зданий|Перевозка грузов специализированными автотранспортными средствами|Торговля оптовая измерительными приборами и оборудованием%781401001%1027809170300%2002-07-22%1993-01-22%Действующее%8617049631.05%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЛЕНЭНЕРГО"""
8603089934%628606, Ханты-Мансийский автономный округ - Югра, г. о. Нижневартовск, г. Нижневартовск, ул. Ленина, зд. 4%06.10.1%Добыча нефти%49.41|09.10.9|68.20.1|46.19|71.12.6|35.30.1|71.12.1|46.42.1|49.50.21%Деятельность автомобильного грузового транспорта|Предоставление прочих услуг в области добычи нефти и природного газа|Аренда и управление собственным или арендованным жилым недвижимым имуществом|Деятельность агентов по оптовой торговле универсальным ассортиментом товаров|Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции|Производство пара и горячей воды (тепловой энергии)|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора|Торговля оптовая одеждой|Транспортирование по трубопроводам газа%860301001%1028600940576%2002-08-19%1999-05-17%Действующее%6315806.05%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ"""
8905026850%629806, Ямало-Ненецкий автономный округ, г. Ноябрьск, ул. Республики, д. 20%06.20%Добыча природного газа и газового конденсата%52.10.21|36.00.2|35.11.1|09.10.9|47.9|71.12.41|61.10.9|43.99.7|43.31%Хранение и складирование нефти и продуктов ее переработки|Распределение воды для питьевых и промышленных нужд|Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Предоставление прочих услуг в области добычи нефти и природного газа|Торговля розничная вне магазинов, палаток, рынков|Деятельность геодезическая, кроме создания геодезической, нивелирной и гравиметрической сетей|Деятельность в области связи на базе проводных технологий прочая|Работы по сборке и монтажу сборных конструкций|Производство штукатурных работ%890501001%1028900706647%2002-11-11%1999-07-12%Действующее%2820761638.23%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК"""
6671163413%620026, Свердловская область, г. Екатеринбург, ул. Мамина-Сибиряка, стр. 140%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%42.22.2|62.09|36.00|63.11.9|42.11|35.14|49.41.1|35.13|42.21%Строительство местных линий электропередачи и связи|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Забор, очистка и распределение воды|Деятельность по предоставлению услуг по размещению информации прочая|Строительство автомобильных дорог и автомагистралей|Торговля электроэнергией|Перевозка грузов специализированными автотранспортными средствами|Распределение электроэнергии|Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения%668501001%1056604000970%2005-02-28%2005-02-28%Действующее%8743048571.1%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ УРАЛ"""
5036065113%115114, г. Москва, 2-й Павелецкий проезд, д. 3, стр. 2%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%72.19|62.09|68.20|63.11.9|33.14|61.10.3|56.29|33.20|55.10%Научные исследования и разработки в области естественных и технических наук прочие|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Аренда и управление собственным или арендованным недвижимым имуществом|Деятельность по предоставлению услуг по размещению информации прочая|Ремонт электрического оборудования|Деятельность по предоставлению услуг по передаче данных и услуг доступа к информационно-коммуникационной сети Интернет|Деятельность предприятий общественного питания по прочим видам организации питания|Монтаж промышленных машин и оборудования|Деятельность гостиниц и прочих мест для временного проживания%772501001%1057746555811%2005-04-01%2005-04-01%Действующее%24353545787.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ МОСКОВСКИЙ РЕГИОН"""
7715995942%127473, г. Москва, вн. тер. г. муниципальный округ Тверской, ул. Краснопролетарская, д. 16, стр. 3, помещ. 1Н%58.11.1%Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий, в том числе для слепых, в печатном виде%78.30|47.89.1|46.49.33|69.10|47.62.2|59.20|70.22|52.10.9|58.14%Деятельность по подбору персонала прочая|Торговля розничная в нестационарных торговых объектах прочими товарами|Торговля оптовая писчебумажными и канцелярскими товарами|Деятельность в области права|Торговля розничная писчебумажными и канцелярскими товарами в специализированных магазинах|Деятельность в области звукозаписи и издания музыкальных произведений|Консультирование по вопросам коммерческой деятельности и управления|Хранение и складирование прочих грузов|Издание журналов и периодических изданий%770701001%1147746296532%2014-03-13%2014-03-13%Действующее%792267000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИЗДАТЕЛЬСТВО ""ПРОСВЕЩЕНИЕ"""
2723088770%690091, Приморский край, г. Владивосток, ул. Тигровая, д. 19%35.14%Торговля электроэнергией%85.42|63.11|68.20.2|77.11|35.13|94.20|82.99|73.11%Образование профессиональное дополнительное|Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность|Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Аренда и лизинг легковых автомобилей и легких автотранспортных средств|Распределение электроэнергии|Деятельность профессиональных союзов|Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки|Деятельность рекламных агентств%254001001%1072721001660%2007-02-01%2007-02-01%Действующее%17223107804.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ"""
7725104641%142300, Московская область, м. о. Чехов, г. Чехов, ул. Офицерский Поселок, д. 51, этаж 2, помещ. 8%42.11%Строительство автомобильных дорог и автомагистралей%73.20|42.12|25.11|52.21.11|41.20|43.21|52.21.24|42.21|43.12%Исследование конъюнктуры рынка и изучение общественного мнения|Строительство железных дорог и метро|Производство строительных металлических конструкций, изделий и их частей|Предоставление железнодорожных маневровых или буксировочных услуг|Строительство жилых и нежилых зданий|Производство электромонтажных работ|Деятельность стоянок для транспортных средств|Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения|Подготовка строительной площадки%504301001%1027739058258%2002-08-12%1999-10-11%Действующее%100000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""АВТОБАН"""
7534018889%672000, Забайкальский край, г. Чита, ул. Профсоюзная, д. 23%35.11.1%Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%55.20|35.30.1|47.29.3|35.30.11|35.14|35.30.4|35.30.14|35.30.5|35.11%Деятельность по предоставлению мест для краткосрочного проживания|Производство пара и горячей воды (тепловой энергии)|Торговля розничная прочими пищевыми продуктами в специализированных магазинах|Производство пара и горячей воды (тепловой энергии) тепловыми электростанциями|Торговля электроэнергией|Обеспечение работоспособности котельных|Производство пара и горячей воды (тепловой энергии) котельными|Обеспечение работоспособности тепловых сетей|Производство электроэнергии%753401001%1047550031242%2004-12-07%2004-12-07%Действующее%1357945609.11%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ № 14"""
7704863782%119019, г. Москва, ул. Новый Арбат, д. 15, стр. 2%35.11.1%Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%71.12.8|35.30|35.12|46.69.5|35.22|43.99.5|46.69.1|42.22.3|43.21%Деятельность по предоставлению инженерно-технических консультаций в сфере энергосбережения и повышения энергетической эффективности использования энергетических ресурсов|Производство, передача и распределение пара и горячей воды; кондиционирование воздуха|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами|Распределение газообразного топлива по газораспределительным сетям|Работы по монтажу стальных строительных конструкций|Торговля оптовая транспортными средствами, кроме автомобилей, мотоциклов и велосипедов|Строительство электростанций|Производство электромонтажных работ%770401001%1147746527279%2014-05-08%2014-05-08%Действующее%25000500000.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВНЕШНЕЭКОНОМИЧЕСКОЕ ОБЪЕДИНЕНИЕ ""ТЕХНОПРОМЭКСПОРТ"""
8602060185%628408, Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Университетская, д. 4%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%50.40|71.11.1|49.3|63.11.1|41.20|33.13|71.12.6|85.42|95.11%Деятельность внутреннего водного грузового транспорта|Деятельность в области архитектуры, связанная с созданием архитектурного объекта|Деятельность прочего сухопутного пассажирского транспорта|Деятельность по созданию и использованию баз данных и информационных ресурсов|Строительство жилых и нежилых зданий|Ремонт электронного и оптического оборудования|Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции|Образование профессиональное дополнительное|Ремонт компьютеров и периферийного компьютерного оборудования%860201001%1028600587399%2002-10-14%1996-12-26%Действующее%27373895100.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ТЮМЕНЬ"""
3801079671%665734, Иркутская область, г. Братск, ул. Олимпийская (Энергетик Ж/Р), д. 14%49.50.11%Транспортирование по трубопроводам нефти%84.25.1|62.09|80.10|71.12.1|33.12|52.23.1|52.21.2|35.12|49.50.12%Деятельность по обеспечению пожарной безопасности|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Деятельность охранных служб, в том числе частных|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора|Ремонт машин и оборудования|Деятельность вспомогательная, связанная с воздушным транспортом|Деятельность вспомогательная, связанная с автомобильным транспортом|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Транспортирование по трубопроводам нефтепродуктов%380501001%1063801003617%2006-01-24%2006-01-24%Действующее%128312236493.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ - ВОСТОК"""
5610255506%460021, Оренбургская область, г. о. город Оренбург, г. Оренбург, ул. 60 лет Октября, д. 1/9, к. 2%52.21.22%Деятельность по эксплуатации автомобильных дорог и автомагистралей%23.99.2|33.17|49.20|42.13|52.24|49.20.9|42.11|52.21.23|49.42%Производство изделий из асфальта или аналогичных материалов|Ремонт и техническое обслуживание прочих транспортных средств и оборудования|Деятельность железнодорожного транспорта: грузовые перевозки|Строительство мостов и тоннелей|Транспортная обработка грузов|Перевозка прочих грузов|Строительство автомобильных дорог и автомагистралей|Деятельность по эксплуатации мостов и тоннелей|Предоставление услуг по перевозкам%561001001%1245600012570%2024-12-25%2024-12-25%Действующее%2832221000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРЕНБУРГРЕМДОРСТРОЙ"""
