inn%address%main_okved%main_descr%add_okveds%add_descrs%КПП%ОГРН%ДатаОГРН%ДатаРег%Статус%Капитал%НаимПолнЮЛ
7810483334%196210, г. Санкт-Петербург, ул. Стартовая, д. 6, литер Д%71.12.2%Деятельность заказчика-застройщика, генерального подрядчика%52.23.22|63.91|49.50.21|35.11|86.90.9|41.20|46.9|71.12.6|52.21.2%Деятельность поисковых и аварийно-спасательных служб, в том числе по эвакуации спускаемых аппаратов (капсул), составных частей ракет космического назначения|Деятельность информационных агентств|Транспортирование по трубопроводам газа|Производство электроэнергии|Деятельность в области медицины прочая, не включенная в другие группировки|Строительство жилых и нежилых зданий|Торговля оптовая неспециализированная|Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции|Деятельность вспомогательная, связанная с автомобильным транспортом%781001001%1077847507759%2007-07-18%2007-07-18%Действующее%186417000.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ИНВЕСТ"""
7702070139%191144, г. Санкт-Петербург, пер. Дегтярный, д. 11 литер а%64.19%Денежное посредничество прочее%62.09|66.12|64.9%Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Деятельность брокерская по сделкам с ценными бумагами и товарами|Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению%784201001%1027739609391%2002-11-22%1990-10-17%Юридическое лицо находится в процессе реорганизации в форме присоединения к нему других юридических лиц%852449384381.57%БАНК ВТБ (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)
7712040126%119019, г. Москва, ул. Арбат, д. 1%51.10.1%Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию%70.22|51.21.3|62.09|51.21.1|85.22|58.19|73.20|55.10|85.42.9%Консультирование по вопросам коммерческой деятельности и управления|Аренда грузовых воздушных судов с экипажем|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Перевозка воздушным грузовым транспортом, подчиняющимся расписанию|Образование высшее|Виды издательской деятельности прочие|Исследование конъюнктуры рынка и изучение общественного мнения|Деятельность гостиниц и прочих мест для временного проживания|Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки%770401001%1027700092661%2002-08-02%1994-06-21%Действующее%3975771215.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЭРОФЛОТ-РОССИЙСКИЕ АВИАЛИНИИ"""
7830000426%191015, г. Санкт-Петербург, ул. Кавалергардская, д. 42%37.00%Сбор и обработка сточных вод%49.41|49.41.1|41.20|49.41.2|58.11|42.11|46.43.3|62.02|90.01%Деятельность автомобильного грузового транспорта|Перевозка грузов специализированными автотранспортными средствами|Строительство жилых и нежилых зданий|Перевозка грузов неспециализированными автотранспортными средствами|Издание книг|Строительство автомобильных дорог и автомагистралей|Торговля оптовая грампластинками, аудио- и видеомагнитными лентами, компакт-дисками (CD) и цифровыми видеодисками (DVD) (кроме носителей без записей)|Деятельность консультативная и работы в области компьютерных технологий|Деятельность в области исполнительских искусств%784201001%1027809256254%2002-12-26%1993-01-13%Действующее%134410429150.37%"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА"""
7708709686%107078, г. Москва, ул. Маши Порываевой, д. 34%49.10.1%Перевозка пассажиров железнодорожным транспортом в междугородном сообщении%56.10.1|56.10.3|85.42|77.39|45.20|63.11.1|58|47.11|73.11%Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания|Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах|Образование профессиональное дополнительное|Аренда и лизинг прочих видов транспорта, оборудования и материальных средств, не включенных в другие группировки|Техническое обслуживание и ремонт автотранспортных средств|Деятельность по созданию и использованию баз данных и информационных ресурсов|Деятельность издательская|Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах|Деятельность рекламных агентств%770801001%1097746772738%2009-12-03%2009-12-03%Действующее%263588838994.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ"""
7702352454%127030, г. Москва, ул. Сущёвская, д. 19, стр. 7%52.22%Деятельность вспомогательная, связанная с водным транспортом%79.90.1|55.90|93.29.9|56.1|36.00|93.2|96.04|61.10.4|77.39.23%Деятельность по предоставлению туристических информационных услуг|Деятельность по предоставлению прочих мест для временного проживания|Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки|Деятельность ресторанов и услуги по доставке продуктов питания|Забор, очистка и распределение воды|Деятельность в области отдыха и развлечений|Деятельность физкультурно- оздоровительная|Деятельность в области документальной электросвязи|Аренда и лизинг подъемно-транспортного оборудования%770701001%1037702023831%2003-05-15%2003-05-15%Действующее%121224253599.61%"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ"""
4704041900%195009, г. Санкт-Петербург, вн. тер. г. муниципальный округ Финляндский Округ, Арсенальная набережная, д. 11, литера А%49.50.1%Транспортирование по трубопроводам нефти и нефтепродуктов%46.90|52.22|42.21|71.12.1|43.22|37.00|49.41.2|36.00|43.99.5%Торговля оптовая неспециализированная|Деятельность вспомогательная, связанная с водным транспортом|Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора|Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха|Сбор и обработка сточных вод|Перевозка грузов неспециализированными автотранспортными средствами|Забор, очистка и распределение воды|Работы по монтажу стальных строительных конструкций%780401001%1024700871711%2002-08-07%2000-09-15%Действующее%120762212718.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ - БАЛТИКА"""
8622000931%628260, Ханты-Мансийский автономный округ - Югра, г. Югорск, ул. Мира, зд. 15%49.50.21%Транспортирование по трубопроводам газа%61.10|68.20.1|35.11|68.20.2|68.32.2|35.12|36.00|71.20.1|93.1%Деятельность в области связи на базе проводных технологий|Аренда и управление собственным или арендованным жилым недвижимым имуществом|Производство электроэнергии|Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Забор, очистка и распределение воды|Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания|Деятельность в области спорта%862201001%1028601843918%2002-09-30%1999-06-30%Действующее%24771850362.65%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК"""
7704221591%125167, г. Москва, вн. тер. г. муниципальный округ Хорошевский, ул. Викторенко, д. 9, стр. 1, помещ. 28%64.91.2%Деятельность по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных%62.09|63.11|46.31.11|63.11.1|64.91|46.36|46.66|66.19.4|77.39.2%Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность|Торговля оптовая свежим картофелем|Деятельность по созданию и использованию баз данных и информационных ресурсов|Деятельность по финансовой аренде (лизингу/сублизингу)|Торговля оптовая сахаром, шоколадом и сахаристыми кондитерскими изделиями|Торговля оптовая прочей офисной техникой и оборудованием|Деятельность по предоставлению консультационных услуг по вопросам финансового посредничества|Аренда и лизинг прочих машин и оборудования, не включенных в другие группировки%771401001%1027700103210%2002-08-06%2001-02-12%Действующее%129338492500.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАГРОЛИЗИНГ"""
7705705370%115054, г. Москва, пл. Павелецкая, д. 1А, стр. 1%49.31.1%Перевозка пассажиров железнодорожным транспортом в пригородном сообщении%85.22|77.39.12|47.1|73.11|85.42.9|49.20|52.2|80.30|52.29%Образование высшее|Аренда и лизинг железнодорожного транспорта и оборудования|Торговля розничная в неспециализированных магазинах|Деятельность рекламных агентств|Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки|Деятельность железнодорожного транспорта: грузовые перевозки|Деятельность транспортная вспомогательная|Деятельность по расследованию|Деятельность вспомогательная прочая, связанная с перевозками%770501001%1057749440781%2005-12-08%2005-12-08%Действующее%262000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНАЯ ПРИГОРОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ"""
